                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.54264,                0.55866,                 1.0227,                0.95199,                0.98899,                  0.995,                0.86087,                0.75061,                0.61218,                 1.2708,               0.007096,               0.007096,               0.007096
                     90,                0.57923,                0.62196,                 1.0387,                0.96895,                      1,                  0.995,                0.89231,                0.53879,                0.49849,                 1.1232,               0.007063,               0.007063,               0.007063
                     91,                0.53298,                  0.605,                0.96578,                0.96668,                      1,                  0.995,                0.84923,                0.63268,                0.66065,                 1.1566,                0.00703,                0.00703,                0.00703
                     92,                0.51652,                0.57964,                 1.0068,                0.97174,                0.99018,                  0.995,                0.86689,                0.56064,                0.60001,                 1.1348,               0.006997,               0.006997,               0.006997
                     93,                0.51378,                0.60759,                 1.0133,                0.93158,                      1,                  0.995,                0.82062,                0.64584,                 0.6124,                  1.196,               0.006964,               0.006964,               0.006964
                     94,                0.54386,                0.66152,                0.98665,                0.90458,                0.99187,                0.97278,                0.83841,                0.57588,                0.63377,                  1.138,               0.006931,               0.006931,               0.006931
                     95,                0.61978,                0.63206,                 1.0507,                0.97877,                 0.9244,                0.98389,                0.76013,                 0.7462,                0.74333,                 1.2621,               0.006898,               0.006898,               0.006898
                     96,                0.56427,                0.57529,                 1.0253,                0.92813,                0.99212,                0.98389,                0.81142,                0.66854,                0.62902,                 1.1689,               0.006865,               0.006865,               0.006865
                     97,                0.53827,                0.57859,                0.99901,                0.83374,                0.91538,                0.97595,                0.75781,                0.68573,                0.83403,                 1.2466,               0.006832,               0.006832,               0.006832
                     98,                0.57098,                0.56263,                 1.0186,                0.82627,                0.91279,                0.98389,                0.78333,                 0.6457,                0.83211,                 1.2276,               0.006799,               0.006799,               0.006799
                     99,                0.58452,                0.60471,                 1.0171,                0.92681,                      1,                  0.995,                0.81282,                0.72642,                0.77557,                 1.5545,               0.006766,               0.006766,               0.006766
                    100,                0.51333,                0.58125,                0.98569,                0.97372,                0.95781,                  0.995,                0.86139,                0.61201,                0.57091,                   1.29,               0.006733,               0.006733,               0.006733
                    101,                0.55225,                0.56754,                      1,                0.95772,                      1,                  0.995,                0.87719,                  0.539,                0.58459,                 1.2274,                 0.0067,                 0.0067,                 0.0067
